A1: The robot's movement looked natural,A1: The gesture felt appropriate for the context,A1: The timing of the gesture felt right,"A1: Overall, I would describe this gesture as high quality",A2: The robot's movement looked natural,A2: The gesture felt appropriate for the context,A2: The timing of the gesture felt right,"A2: Overall, I would describe this gesture as high quality",A3: The robot's movement looked natural,A3: The gesture felt appropriate for the context,A3: The timing of the gesture felt right,"A3: Overall, I would describe this gesture as high quality",B1: The robot's movement looked natural,B1: The gesture felt appropriate for the context,B1: The timing of the gesture felt right,"B1: Overall, I would describe this gesture as high quality",B2: The robot's movement looked natural,B2: The gesture felt appropriate for the context,B2: The timing of the gesture felt right,"B2: Overall, I would describe this gesture as high quality",B3: The robot's movement looked natural,B3: The gesture felt appropriate for the context,B3: The timing of the gesture felt right,"B3: Overall, I would describe this gesture as high quality",C1: The robot's movement looked natural,C1: The gesture felt appropriate for the context,C1: The timing of the gesture felt right,"C1: Overall, I would describe this gesture as high quality",C2: The robot's movement looked natural,C2: The gesture felt appropriate for the context,C2: The timing of the gesture felt right,"C2: Overall, I would describe this gesture as high quality",C3: The robot's movement looked natural ,C3: The gesture felt appropriate for the context ,C3: The timing of the gesture felt right,"C3: Overall, I would describe this gesture as high quality",D1: The robot's movement looked natural,D1: The gesture felt appropriate for the context,D1: The timing of the gesture felt right,"D1: Overall, I would describe this gesture as high quality",D2: The robot's movement looked natural,D2: The gesture felt appropriate for the context,D2: The timing of the gesture felt right,"D2: Overall, I would describe this gesture as high quality",D3: The robot's movement looked natural,D3: The gesture felt appropriate for the context,D3: The timing of the gesture felt right,"D3: Overall, I would describe this gesture as high quality"
Neutral,Neutral,Neutral,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Neutral,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Somewhat Agree,Agree,Strongly Agree
Somewhat Disagree,Neutral,Somewhat Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Somewhat Agree,Agree,Somewhat Agree,Strongly Disagree,Neutral,Somewhat Agree,Agree,Agree,Neutral,Somewhat Agree,Neutral,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree
Somewhat Disagree,Somewhat Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Neutral,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree
Neutral,Somewhat Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Neutral,Neutral,Strongly Disagree,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Somewhat Disagree,Neutral,Agree,Agree
Neutral,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Agree,Strongly Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Neutral,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Agree,Somewhat Agree
Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree
Neutral,Agree,Neutral,Somewhat Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Somewhat Agree,Strongly Agree,Neutral,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Neutral,Neutral,Strongly Agree,Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Strongly Agree
Neutral,Somewhat Agree,Neutral,Somewhat Agree,Agree,Agree,Disagree,Somewhat Disagree,Neutral,Strongly Agree,Neutral,Neutral,Somewhat Disagree,Neutral,Strongly Agree,Neutral,Agree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Strongly Agree
Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Agree,Strongly Agree,Somewhat Disagree,Neutral,Agree,Strongly Agree,Agree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Disagree,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree
Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Neutral,Somewhat Disagree,Somewhat Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Neutral,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Strongly Agree,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree
